strain	rep	gen	batch	r	k	n0	auc	sigma
M	3	1511	5	1.14858	0.30978	5.8819e-07	2.03316	0.01113
M	4	1511	5	1.51330	0.23727	5.8699e-09	1.53974	0.01051
M	5	1511	5	1.17404	0.31974	3.0285e-07	1.96893	0.00782
M	6	1511	5	1.37326	0.26101	2.4584e-08	1.61729	0.01001
M	7	1511	5	0.93364	0.26087	9.4538e-06	1.83031	0.01396
M	8	1511	5	1.44522	0.26806	1.3802e-08	1.74082	0.01234
L	1	1511	5	0.92939	0.24775	8.5085e-06	1.73522	0.01658
L	2	1511	5	1.14015	0.30691	1.0037e-06	2.11576	0.00880
L	3	1511	5	1.27442	0.31252	1.7647e-07	2.11301	0.01017
L	4	1511	5	1.21279	0.31666	3.2893e-07	2.11490	0.01133
L	5	1511	5	1.68863	0.24985	3.1247e-09	1.83572	0.01174
L	6	1511	5	1.35793	0.27795	6.4731e-08	1.88564	0.01227
L	7	1511	5	0.92422	0.29832	1.3225e-05	2.11802	0.01074
L	8	1511	5	0.88173	0.27111	1.5505e-05	1.85878	0.01277
X	1	1511	5	2.29124	0.33392	1.0225e-10	2.83809	0.02622
X	2	1511	5	1.83167	0.32788	2.8999e-09	2.60027	0.03228
X	3	1511	5	2.17279	0.28640	2.8974e-10	2.44844	0.02191
X	4	1511	5	1.45138	0.33623	5.5728e-08	2.43227	0.01049
X	5	1511	5	2.41977	0.34552	1.2189e-11	2.81971	0.04572
X	6	1511	5	1.70108	0.36542	4.8597e-09	2.69723	0.02398
X	7	1511	5	1.45847	0.26374	1.6057e-08	1.76842	0.01419
X	8	1511	5	2.07870	0.29346	3.4604e-10	2.40848	0.02275
k	2	1511	5	0.86304	0.34049	7.1441e-07	1.01301	0.00825
k	2	1511	5	0.96346	0.30435	2.8352e-07	1.11388	0.00878
k	2	1511	5	0.90199	0.31892	6.6425e-07	1.15066	0.00918
S	0	0	6	1.26058	0.30590	2.9514e-08	1.61355	0.01072
S	0	0	6	1.21596	0.31249	3.8491e-08	1.58279	0.01123
S	0	0	6	1.32428	0.29483	1.3886e-08	1.56777	0.00993
M	0	0	6	1.20245	0.29928	5.3819e-08	1.56431	0.01126
M	0	0	6	1.24113	0.30212	4.4800e-08	1.62193	0.00954
M	0	0	6	1.23437	0.31589	4.0754e-08	1.66019	0.01137
L	0	0	6	0.96663	0.32546	2.4464e-07	1.14099	0.00994
L	0	0	6	0.92580	0.31933	4.1581e-07	1.10843	0.00934
L	0	0	6	1.10771	0.30365	4.5037e-08	1.18986	0.01614
